CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,PRIMARY_RD,SECONDARY_RD,INTERSECTION,WEATHER_1,STATE_HWY_IND,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,LIGHTING,CONTROL_DEVICE,BICYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,CITY
6960247,2015,2015-07-10,3711,2015-06-07,1305,NE,7,7,BLACK MOUNTAIN RD,CAPRICORN WY,N,A,N,3,0,1,1,A,N,H,-,A,A,H,A,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
7137127,2015,2015-12-17,3711,2015-12-05,1518,,6,7,BLACK MOUNTAIN RD,BLACK MOUNTAIN RD 11300,-,A,N,3,0,1,1,D,N,-,-,A,A,H,B,-,Y,,-,- ,0,1,0,0,1,SAN DIEGO
5204261,2011,2012-06-21,3711,2011-05-25,1842,,3,7,BLACK MOUNTAIN RD,CAPRICORN WY,N,A,N,3,0,1,1,D,N,H,-,A,A,H,A,A,Y,,-,- ,0,1,0,0,1,SAN DIEGO
5190566,2011,2012-10-11,3711,2011-05-26,1527,,4,7,BANCROFT ST,BANCROFT ST4600,N,A,N,4,0,1,2,D,M,D,G,A,A,G,A,D,Y,,-,- ,0,0,1,0,1,SAN DIEGO
5280470,2011,2013-02-26,3711,2011-08-19,2219,,5,7,THORN,32ND,N,A,N,4,0,1,1,-,N,H,G,A,A,H,C,D,Y,Y,-,- ,0,0,1,0,1,SAN DIEGO
4967166,2010,2011-12-10,3711,2010-12-11,835,,6,7,HILLERY DR,BLACK MOUNTAIN RD,Y,A,N,3,0,1,2,A,N,D,G,A,A,H,A,A,Y,,A,1,0,1,0,0,1,SAN DIEGO
5388924,2011,2012-12-28,3711,2011-10-27,907,SDPD,4,7,BLACK MOUNTAIN RD,HILLERY DR,Y,A,N,4,0,1,2,A,N,D,G,A,A,H,A,A,Y,,L,4,0,0,1,0,1,SAN DIEGO
6896990,2015,2015-05-18,9650,2015-04-12,1418,,7,9,DEL DIOS HWY,RANCHO DR,N,A,N,4,0,1,1,A,N,F,A,A,A,H,A,D,Y,,L,4,0,0,1,0,1,UNINCORPORATED
90893962,2018,2018-12-31,9650,2018-12-22,915,,6,9,DEL DIOS HWY,RANCHO DR,N,A,N,2,0,2,3,A,N,H,G,A,A,H,A,D,Y,,L,4,2,0,0,0,2,UNINCORPORATED
6672419,2014,2015-01-29,3711,2014-10-14,728,,2,7,BLACK MOUNTAIN RD,HILLERY DR,N,B,N,4,0,1,2,A,N,D,G,A,A,H,A,A,Y,,L,4,0,0,1,0,1,SAN DIEGO
90146195,2016,2016-03-28,9650,2016-03-19,915,,6,9,DEL DIOS HWY,MT. ISRAEL RD.,N,A,N,4,0,1,2,A,N,H,G,A,A,H,A,D,Y,,L,4,0,0,1,0,1,UNINCORPORATED
90272768,2016,2016-09-21,9650,2016-09-18,850,,7,9,DEL DIOS HWY (9500 BLOCK),MOUNT ISRAEL RD,N,A,N,4,0,1,2,A,N,H,G,A,A,H,A,D,Y,,A,1,0,0,1,0,1,UNINCORPORATED
6560581,2014,2014-08-12,3711,2014-06-17,1457,SANDI,2,7,BLACK MOUNTAIN RD,GOLD COAST DR,N,A,N,4,0,1,2,A,N,D,G,A,A,H,A,D,Y,,L,4,0,0,1,0,1,SAN DIEGO
8544216,2018,2018-01-31,3711,2018-01-22,1609,SD,1,7,HILLERY DR,BLACK MOUNTAIN,N,A,N,3,0,1,1,A,N,-,A,A,A,H,A,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
6806179,2015,2015-02-24,3711,2015-01-21,1811,ML,3,7,UNIVERSITY AV,BANCROFT ST,N,A,N,3,0,1,2,A,N,C,G,A,A,H,C,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
5302807,2011,2012-12-08,3711,2011-08-25,2054,,4,7,MISSION VILLAGE DR,SHAWN  AV,Y,A,N,3,0,1,2,A,N,D,G,A,A,H,C,A,Y,,A,1,0,1,0,0,1,SAN DIEGO
5666739,2012,2013-09-26,3711,2012-06-01,2033,,5,7,GOLD COAST DR,GOLD COAST DR 9400,Y,A,N,3,0,1,2,A,N,D,G,A,A,H,C,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
8090907,2016,2016-07-28,3711,2016-07-15,1918,,5,7,GOLD COAST DR,BLACK MOUNTAIN RD,Y,A,N,4,0,1,2,A,N,A,G,A,A,H,A,A,Y,,-,,0,0,1,0,1,SAN DIEGO
4243438,2009,2009-12-23,3711,2009-05-15,645,,5,7,BLACK MOUNTAIN RD,GOLD COAST DR,N,B,N,3,0,1,2,A,N,H,G,A,A,H,A,D,Y,,L,4,0,1,0,0,1,SAN DIEGO
